id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3735,P30483,False,False,,False,True,HLA,False,False,
3736,P30484,False,False,,False,True,HLA,False,False,
3737,P30485,False,False,,False,True,HLA,False,False,
3738,P30486,False,False,,False,True,HLA,False,False,
3739,P30487,False,False,,False,True,HLA,False,False,
3740,P30488,False,False,,False,True,HLA,False,False,
3741,P30490,False,False,,False,True,HLA,False,False,
3742,P30491,False,False,,False,True,HLA,False,False,
3743,P30492,False,False,,False,True,HLA,False,False,
3744,P30495,False,False,,False,True,HLA,False,False,
3745,P30498,False,False,,False,True,HLA,False,False,
3746,P30685,False,False,,False,True,HLA,False,False,
3747,Q04826,False,False,,False,True,HLA,False,False,
3748,Q29718,False,False,,False,True,HLA,False,False,
3749,Q29836,False,False,,False,True,HLA,False,False,
3750,Q29940,False,False,,False,True,HLA,False,False,
3751,Q31610,False,False,,False,True,HLA,False,False,
3752,Q31612,False,False,,False,True,HLA,False,False,
3753,Q95365,False,False,,False,True,HLA,False,False,
3754,P30493,False,False,,False,True,HLA,False,False,
3755,Q95604,False,False,,False,True,HLA,False,False,
3756,P04222,False,False,,False,True,HLA,False,False,
3757,P10321,False,False,,False,True,HLA,False,False,
3758,P30499,False,False,,False,True,HLA,False,False,
3759,P30501,False,False,,False,True,HLA,False,False,
3760,P30504,False,False,,False,True,HLA,False,False,
3761,P30505,False,False,,False,True,HLA,False,False,
3762,P30508,False,False,,False,True,HLA,False,False,
3763,P30510,False,False,,False,True,HLA,False,False,
3764,Q07000,False,False,,False,True,HLA,False,False,
3765,Q29865,False,False,,False,True,HLA,False,False,
3766,Q29963,False,False,,False,True,HLA,False,False,
3767,Q9TNN7,False,False,,False,True,HLA,False,False,
3768,P28067,False,False,,False,True,HLA,False,False,
3769,P28068,False,False,,False,True,HLA,False,False,
3770,P06340,False,False,,False,True,HLA,False,False,
3771,P13765,False,False,,False,True,HLA,False,False,
3772,P13747,False,False,,False,True,HLA,False,False,
3773,P30511,False,False,,False,True,HLA,False,False,
3774,P17693,False,False,,False,True,HLA,False,False,
3775,P05362,True,False,,True,False,,False,False,
3776,P13598,False,False,,True,False,,False,False,
3777,P32942,False,False,,True,False,,False,False,
3778,Q9UMF0,False,False,,True,False,,False,False,
3779,O75144,False,False,,False,True,Ligand,False,False,
3780,Q96BM0,False,False,,False,False,,False,False,
3781,P09912,False,False,,False,False,,False,False,
3783,Q8IVU1,False,False,,False,False,,False,False,
3784,P11717,True,False,,False,False,,False,False,
3785,A1L1A6,True,False,,False,False,,False,False,
3792,Q14627,True,True,Cytokine_receptor,False,False,,False,False,
3795,Q9NP60,True,True,Cytokine_receptor_add,False,False,,False,False,
3807,Q71H61,False,False,,False,True,Others,False,False,
3808,Q9BZV3,True,False,,False,False,,False,False,
3809,P14616,True,False,,False,False,,False,False,
3829,Q14643,True,False,,False,False,,False,False,
3830,Q14571,True,False,,False,False,,False,False,
3832,Q12918,True,True,KLR_add,False,False,,False,False,
3833,P26715,True,True,KLR_add,False,False,,False,False,
3834,P26717,True,True,KLR_add,False,False,,False,False,
3835,Q07444,True,True,KLR_add,False,False,,False,False,
3836,O43908,True,True,KLR_add,False,False,,False,False,
3837,Q13241,True,True,KLR_add,False,False,,False,False,
3838,Q9NZS2,True,True,KLR_add,False,False,,False,False,
3839,P18627,False,False,,False,True,Possible_receptor,False,False,
